Date,One Prize,Two Top,Three Top,Two Low,Three Fronts/Three Bottoms 1,Three Fronts/Three Bottoms 2,Three Fronts/Three Bottoms 3,Three Fronts/Three Bottoms 4
01/06/2547,614144,44,144,72,990,776,776,992
16/05/2547,589207,07,207,13,492,992,992,253
02/05/2547,653403,03,403,91,385,550,550,101
16/04/2547,705832,32,832,12,008,966,966,721
01/04/2547,196391,91,391,62,808,918,918,851
16/03/2547,615366,66,366,69,779,094,094,830
01/03/2547,697483,83,483,50,610,510,510,206
16/02/2547,698002,02,002,00,877,309,309,072
01/02/2547,216822,22,822,77,361,242,242,765
16/01/2547,731342,42,342,96,025,357,357,391
30/12/2546,739447,47,447,64,654,435,435,216
16/12/2546,177947,47,947,87,676,847,847,571
01/12/2546,991307,07,307,78,945,719,719,217
16/11/2546,238511,11,511,68,155,767,767,474
01/11/2546,941438,38,438,47,866,156,156,264
16/10/2546,305500,00,500,03,109,012,012,470
01/10/2546,912040,40,040,43,407,100,100,563
16/09/2546,600589,89,589,53,909,356,356,494
01/09/2546,187813,13,813,92,661,918,918,249
16/08/2546,354771,71,771,00,496,271,271,624
01/08/2546,766098,98,098,91,733,856,856,460
16/07/2546,679545,45,545,75,049,589,589,363
01/07/2546,461414,14,414,91,151,878,878,282
16/06/2546,389872,72,872,29,605,995,995,006
01/06/2546,766066,66,066,36,083,523,523,686
16/05/2546,552784,84,784,20,608,048,048,362
02/05/2546,135603,03,603,12,498,870,870,522
16/04/2546,892525,25,525,21,933,906,906,823
01/04/2546,933164,64,164,86,467,863,863,902
16/03/2546,653062,62,062,64,820,208,208,038
01/03/2546,441022,22,022,42,322,026,026,628
17/02/2546,455578,78,578,61,805,496,496,857
01/02/2546,456370,70,370,94,661,429,429,229
16/01/2546,977085,85,085,06,441,535,535,262
30/12/2545,895196,96,196,95,191,116,116,609
16/12/2545,019682,82,682,67,616,312,312,849
01/12/2545,968422,22,422,37,298,088,088,809
16/11/2545,915344,44,344,55,191,843,843,906
01/11/2545,505498,98,498,25,341,297,297,383
16/10/2545,428641,41,641,51,150,401,401,177
01/10/2545,802505,05,505,72,864,567,567,189
16/09/2545,156050,50,050,85,056,889,889,169
01/09/2545,994200,00,200,51,126,799,799,395
16/08/2545,120108,08,108,57,705,173,173,147
01/08/2545,493438,38,438,88,269,645,645,529
16/07/2545,340264,64,264,69,304,632,632,034
01/07/2545,481447,47,447,24,195,517,517,802
16/06/2545,073261,61,261,07,472,156,156,845
01/06/2545,161149,49,149,02,879,643,643,485
16/05/2545,598714,14,714,76,765,725,725,508
02/05/2545,590664,64,664,56,764,739,739,503
16/04/2545,522630,30,630,37,586,949,949,085
01/04/2545,990543,43,543,57,971,430,430,456
16/03/2545,659152,52,152,04,370,066,066,943
01/03/2545,805590,90,590,55,748,715,715,856
16/02/2545,330853,53,853,92,167,820,820,769
01/02/2545,633270,70,270,40,956,414,414,859
16/01/2545,709670,70,670,14,895,116,116,109
30/12/2544,729367,67,367,64,873,974,974,107
16/12/2544,224675,75,675,19,887,538,538,902
01/12/2544,737022,22,022,49,713,461,461,925
16/11/2544,685706,06,706,74,339,976,976,275
01/11/2544,683472,72,472,52,392,081,081,431
16/10/2544,975005,05,005,48,070,626,626,670
01/10/2544,104154,54,154,15,827,303,303,058
16/09/2544,616426,26,426,82,995,806,806,089
01/09/2544,119067,67,067,14,145,294,294,532
16/08/2544,690135,35,135,10,217,717,717,588
01/08/2544,180597,97,597,11,602,086,086,848
16/07/2544,820715,15,715,50,250,171,171,767
01/07/2544,107987,87,987,34,364,296,296,546
16/06/2544,762394,94,394,75,550,395,395,922
01/06/2544,113311,11,311,80,490,983,983,920
16/05/2544,091982,82,982,61,437,507,507,080
02/05/2544,205095,95,095,64,980,543,543,099
16/04/2544,140843,43,843,28,031,952,952,378
01/04/2544,640998,98,998,49,600,061,061,877
16/03/2544,633616,16,616,45,400,773,773,350
01/03/2544,836537,37,537,85,356,147,147,380
16/02/2544,621267,67,267,47,155,275,275,305
01/02/2544,454703,03,703,13,089,437,437,063
16/01/2544,737016,16,016,36,358,515,515,035
30/12/2543,119451,51,451,31,600,763,763,357
16/12/2543,969676,76,676,91,555,267,267,605
01/12/2543,887956,56,956,56,454,664,664,933
16/11/2543,565311,11,311,10,494,381,381,304
01/11/2543,093182,82,182,90,046,606,606,407
16/10/2543,620662,62,662,39,276,607,607,372
01/10/2543,290582,82,582,26,690,436,436,070
16/09/2543,046251,51,251,05,933,806,806,230
01/09/2543,437367,67,367,52,952,290,290,474
16/08/2543,459013,13,013,57,087,378,378,120
01/08/2543,267540,40,540,18,881,930,930,463
16/07/2543,931342,42,342,43,397,237,237,656
01/07/2543,674071,71,071,29,946,761,761,190
16/06/2543,825696,96,696,57,592,832,832,771
01/06/2543,592761,61,761,16,716,705,705,810
16/05/2543,009315,15,315,56,226,035,035,174
02/05/2543,070715,15,715,20,422,287,287,740
16/04/2543,836777,77,777,63,950,273,273,362
01/04/2543,963948,48,948,99,477,535,535,018
16/03/2543,164311,11,311,65,009,460,460,326
01/03/2543,997833,33,833,63,817,250,250,416
16/02/2543,729816,16,816,91,631,916,916,181
01/02/2543,530213,13,213,85,109,926,926,597
16/01/2543,442183,83,183,82,540,950,950,847
30/12/2542,051108,08,108,03,061,263,263,301
16/12/2542,139853,53,853,30,131,688,688,656
